
Gurobi 13.0.1 (linux64) logging started Fri Mar 20 14:29:45 2026

Set parameter LogFile to value "logs/150B_3F_deterministic_2026-03-20_14h28m42s.log"
Gurobi Optimizer version 13.0.1 build v13.0.1rc0 (linux64 - "Linux Mint 22")

CPU model: 12th Gen Intel(R) Core(TM) i7-12700, instruction set [SSE2|AVX|AVX2]
Thread count: 20 physical cores, 20 logical processors, using up to 20 threads

Non-default parameters:
TimeLimit  400
SoftMemLimit  10

Optimize a model with 107470 rows, 3420160 columns and 10280716 nonzeros (Max)
Model fingerprint: 0xb457a562
Model has 3363970 linear objective coefficients
Variable types: 22660 continuous, 3397500 integer (3397500 binary)
Coefficient statistics:
  Matrix range     [8e-05, 2e+04]
  Objective range  [8e+00, 3e+03]
  Bounds range     [1e+00, 1e+05]
  RHS range        [1e+00, 1e+05]

Presolve removed 65471 rows and 2790591 columns
Presolve time: 1.97s
Presolved: 41999 rows, 629569 columns, 1963058 nonzeros
Variable types: 8870 continuous, 620699 integer (620699 binary)
Found heuristic solution: objective -5.47266e+08
Found heuristic solution: objective -5.44953e+08
Performing another presolve...
Presolve removed 6998 rows and 10 columns (presolve time = 5s)...
Presolve removed 6998 rows and 10 columns (presolve time = 10s)...
Presolve removed 6998 rows and 10 columns (presolve time = 15s)...
Presolve removed 6998 rows and 10 columns (presolve time = 20s)...
Presolve removed 6998 rows and 10 columns (presolve time = 25s)...
Presolve removed 6998 rows and 10 columns (presolve time = 30s)...
Presolve removed 6998 rows and 500762 columns (presolve time = 39s)...
Presolve removed 28022 rows and 500762 columns (presolve time = 40s)...
Presolve removed 28012 rows and 500742 columns
Presolve time: 41.56s
Deterministic concurrent LP optimizer: primal and dual simplex
Showing primal log only...


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
       0   -1.0098306e+04   6.552266e+02   5.055171e+09     46s
    1992   -5.5589122e+08   0.000000e+00   1.021613e+10     46s
   88555   -1.0563841e+07   0.000000e+00   2.546255e+08     50s
Concurrent spin time: 0.90s (can be avoided by choosing Method=3)

Solved with dual simplex

Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
   13945   -1.0520670e+07   0.000000e+00   0.000000e+00     51s

Root relaxation: objective -1.052067e+07, 13945 iterations, 5.19 seconds (8.94 work units)
Total elapsed time = 50.66s (DegenMoves)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 -1.052e+07    0  635 -5.450e+08 -1.052e+07  98.1%     -   51s
H    0     0                    -3.96923e+08 -1.052e+07  97.3%     -   52s
H    0     0                    -3.46158e+08 -1.052e+07  97.0%     -   52s
H    0     0                    -3.24955e+08 -1.052e+07  96.8%     -   55s
H    0     0                    -2.94589e+08 -1.052e+07  96.4%     -   55s
H    0     0                    -2.86915e+08 -1.052e+07  96.3%     -   56s
H    0     0                    -2.76765e+08 -1.052e+07  96.2%     -   59s
H    0     0                    -2.75063e+08 -1.379e+07  95.0%     -   72s
     0     0 -1.379e+07    0  372 -2.751e+08 -1.379e+07  95.0%     -   72s
H    0     0                    -2.68181e+08 -1.379e+07  94.9%     -   76s
H    0     0                    -2.65506e+08 -1.379e+07  94.8%     -   79s
H    0     0                    -2.59888e+08 -1.379e+07  94.7%     -   80s
H    0     0                    -2.55368e+08 -1.379e+07  94.6%     -   83s
H    0     0                    -2.53387e+08 -1.379e+07  94.6%     -   85s
H    0     0                    -2.53061e+08 -1.379e+07  94.6%     -   86s
H    0     0                    -2.53032e+08 -1.379e+07  94.6%     -   86s
H    0     0                    -2.52917e+08 -1.379e+07  94.5%     -   86s
H    0     0                    -2.52916e+08 -1.379e+07  94.5%     -   86s
H    0     0                    -2.52778e+08 -1.379e+07  94.5%     -   87s
     0     0 -1.381e+07    0  375 -2.528e+08 -1.381e+07  94.5%     -   87s
     0     0 -1.705e+07    0  382 -2.528e+08 -1.705e+07  93.3%     -   95s
     0     0 -1.746e+07    0  401 -2.528e+08 -1.746e+07  93.1%     -   99s
     0     0 -1.746e+07    0  403 -2.528e+08 -1.746e+07  93.1%     -   99s
     0     0 -2.253e+07    0  420 -2.528e+08 -2.253e+07  91.1%     -  111s
     0     0 -2.351e+07    0  422 -2.528e+08 -2.351e+07  90.7%     -  114s
     0     0 -2.355e+07    0  429 -2.528e+08 -2.355e+07  90.7%     -  116s
     0     0 -2.356e+07    0  437 -2.528e+08 -2.356e+07  90.7%     -  116s
     0     0 -2.597e+07    0  450 -2.528e+08 -2.597e+07  89.7%     -  121s
     0     0 -2.614e+07    0  442 -2.528e+08 -2.614e+07  89.7%     -  126s
     0     0 -2.614e+07    0  453 -2.528e+08 -2.614e+07  89.7%     -  126s
     0     0 -2.826e+07    0  472 -2.528e+08 -2.826e+07  88.8%     -  133s
     0     0 -2.839e+07    0  455 -2.528e+08 -2.839e+07  88.8%     -  138s
     0     0 -2.839e+07    0  462 -2.528e+08 -2.839e+07  88.8%     -  139s
     0     0 -3.050e+07    0  457 -2.528e+08 -3.050e+07  87.9%     -  149s
H    0     0                    -2.52571e+08 -3.104e+07  87.7%     -  156s
