instance_name,theta,gamma,objective_value,termination_condition,number_of_variables,number_of_constraints,mip_gap,solver_time_s,total_wall_time_s,best_bound,node_count,milling_loss_t,standover_t,total_distance_km,atr_revenue
50B_3F_deterministic,0,0,138127432.4676374,optimal,390060,29970,9.874707938782767e-05,2749.699898004532,2762.06,138141072.1481769,,"(302271.6999999999,)","(0.0,)","(794.8531345061713,)",232153802.4960001
50B_6F_deterministic,0,0,138121849.0562709,resourceInterrupt,780060,59850,0.00017173573759710978,1110.0463790893555,1137.02,138145569.51389685,,"(302271.7000000002,)","(0.0,)","(1018.1895891623432,)",232153802.49600005
75B_3F_deterministic,0,0,344786824.1717263,maxTimeLimit,866335,44845,0.0001143776837271565,3600.129592895508,3630.04,344826260.0900547,,"(0.0,)","(0.0,)","(1672.6024109504976,)",344828639.2320001
75B_6F_deterministic,0,0,344772765.1760305,resourceInterrupt,1732585,89575,0.0001562395789561229,487.24848985671997,548.79,344826632.32769716,,"(0.0,)","(0.0,)","(2234.962238778884,)",344828639.23200005
100B_3F_deterministic,0,0,401057389.77067614,maxTimeLimit,1530110,59720,0.00014373276102292874,3600.2269418239594,3655.63,401115034.8566365,,"(0.0,)","(135004.59,)","(2384.309742554989,)",423797768.6342399
50B_3F_robust_gamma_0d25_theta_0d05199999999999999,0.05199999999999999,0.25,98486805.05465147,maxTimeLimit,390571,30471,0.08581527834648656,3600.111179828644,3614.71,106938477.64387254,,"(302271.69999999984,)","(0.0,)","(4304.191573947062,)",232153802.49600008
50B_3F_robust_gamma_0d5_theta_0d05199999999999999,0.05199999999999999,0.5,72855927.5046439,maxTimeLimit,390571,30471,0.1690511445593747,3600.5315990448,3614.54,85172305.43723878,,"(302271.6999999999,)","(0.0,)","(3298.753408686053,)",232153802.49600014
50B_3F_robust_gamma_0d75_theta_0d05199999999999999,0.05199999999999999,0.75,60480305.196424186,maxTimeLimit,390571,30471,0.11924684054712624,3600.1391479969025,3614.23,67692390.50642371,,"(302271.70000000054,)","(0.0,)","(1649.3745165997536,)",232153802.4959998
50B_3F_robust_gamma_-1_theta_0d05199999999999999,0.05199999999999999,-1,1e+30,unbounded,390571,29970,,0.07580113410949707,14.1,inf,,"(920039.7835337222,)","(617768.0835337223,)","(4263.554128710815,)",40359052.209786445
50B_6F_robust_gamma_0d25_theta_0d05199999999999999,0.05199999999999999,0.25,106225445.11292173,maxTimeLimit,780571,60351,0.006712860327538914,3600.124825000763,3629.32,106938521.68919542,,"(302271.69999999984,)","(0.0,)","(5360.406932981677,)",232153802.49599993
50B_6F_robust_gamma_0d5_theta_0d05199999999999999,0.05199999999999999,0.5,82890005.52948698,maxTimeLimit,780571,60351,0.027534680141828437,3600.260580062866,3629.0,85172355.3186958,,"(302271.6999999999,)","(0.0,)","(5028.794842372169,)",232153802.49599996
50B_6F_robust_gamma_0d75_theta_0d05199999999999999,0.05199999999999999,0.75,63446813.52150412,maxTimeLimit,780571,60351,0.0669168242085029,3600.156672000885,3628.49,67692472.78851227,,"(302271.6999999999,)","(0.0,)","(2673.6715881449018,)",232153802.49599996
50B_6F_robust_gamma_-1_theta_0d05199999999999999,0.05199999999999999,-1,,infeasibleOrUnbounded,780571,59850,,0.14765620231628418,25.79,inf,,"(0.0,)","(0.0,)","(0.0,)",0.0
75B_3F_robust_gamma_0d25_theta_0d05199999999999999,0.05199999999999999,0.25,261294494.74613482,maxTimeLimit,867096,45596,0.12644903625256104,3600.2278320789337,3631.49,294334931.78488344,,"(0.0,)","(0.0,)","(4647.716738778208,)",344828639.2320001
75B_3F_robust_gamma_0d5_theta_0d05199999999999999,0.05199999999999999,0.5,237462805.1087259,maxTimeLimit,867096,45596,0.10755705606931229,3600.1536610126495,3631.05,263003605.35218132,,"(0.0,)","(0.0,)","(3320.4301623285296,)",344828639.23200005
75B_3F_robust_gamma_0d75_theta_0d05199999999999999,0.05199999999999999,0.75,228835894.1266987,maxTimeLimit,867096,45596,0.043729734476404464,3600.084506034851,3630.92,238842827.01552984,,"(0.0,)","(0.0,)","(2434.753265499338,)",344828639.23200005
75B_3F_robust_gamma_-1_theta_0d05199999999999999,0.05199999999999999,-1,1e+30,unbounded,867096,44845,,0.17787504196166992,30.92,inf,,"(949506.3044590269,)","(1010158.604459027,)","(2730.974162979694,)",31210758.257232655
75B_6F_robust_gamma_0d25_theta_0d05199999999999999,0.05199999999999999,0.25,283476321.0829566,maxTimeLimit,1733346,90326,0.038307303565013266,3600.209676027298,3664.62,294335534.5681746,,"(0.0,)","(0.0,)","(8053.195354605908,)",344828639.2319998
75B_6F_robust_gamma_0d5_theta_0d05199999999999999,0.05199999999999999,0.5,247283924.5836934,resourceInterrupt,1733346,90326,0.06357136630017873,1352.3012449741364,1417.77,263004101.53354913,,"(0.0,)","(0.0,)","(5827.809604623143,)",344828639.2319999
75B_6F_robust_gamma_0d75_theta_0d05199999999999999,0.05199999999999999,0.75,230725599.2356248,resourceInterrupt,1733346,90326,0.03518391616987305,2310.4860730171204,2376.49,238843429.37737474,,"(0.0,)","(0.0,)","(3494.70850153886,)",344828639.2319565
75B_6F_robust_gamma_-1_theta_0d05199999999999999,0.05199999999999999,-1,,infeasibleOrUnbounded,1733346,89575,,0.35117506980895996,59.57,inf,,"(0.0,)","(0.0,)","(0.0,)",0.0
100B_3F_robust_gamma_0d25_theta_0d05199999999999999,0.05199999999999999,0.25,286573173.3984609,maxTimeLimit,1531121,60721,0.22098147474905122,3600.13689994812,3656.89,349900535.8795684,,"(0.0,)","(135004.5899999998,)","(4791.815311511171,)",423797768.63424003
100B_3F_robust_gamma_0d5_theta_0d05199999999999999,0.05199999999999999,0.5,263089793.8689388,maxTimeLimit,1531121,60721,0.16789019192112695,3600.509236097336,3656.32,307259989.8540847,,"(0.0,)","(135004.58999999994,)","(2849.930022091617,)",423797768.63415676
100B_3F_robust_gamma_0d75_theta_0d05199999999999999,0.05199999999999999,0.75,254066434.52938345,maxTimeLimit,1531121,60721,0.07610969682168628,3600.36443901062,3656.45,273403353.83398163,,"(0.0,)","(135004.58999998792,)","(2233.6853962100154,)",423797768.63424057
100B_3F_robust_gamma_-1_theta_0d05199999999999999,0.05199999999999999,-1,,infeasibleOrUnbounded,1531121,59720,,0.26656389236450195,52.27,inf,,"(0.0,)","(0.0,)","(0.0,)",0.0
