instance_name,theta,gamma,objective_value,termination_condition,number_of_variables,number_of_constraints,mip_gap,solver_time_s,total_wall_time_s,best_bound,node_count,milling_loss_t,standover_t,total_distance_km,atr_revenue
50B_3F_deterministic,0,0,138112378.54566166,optimal,390060,29970,0.00021541808379874994,131.19885802268982,190.55,138142130.44959685,,"(302271.6999999999,)","(0.0,)","(1397.0100135365567,)",232153802.49600014
50B_6F_deterministic,0,0,138089779.5110306,optimal,780060,59850,0.0004049548878956099,41.98171401023865,162.43,138145699.64221203,,"(302271.6999999999,)","(0.0,)","(2300.9713987766854,)",232153802.49600008
75B_3F_deterministic,0,0,344734530.4092306,optimal,866335,44845,0.00026785640176997495,273.77681708335876,404.3,344826869.76011187,,"(0.0,)","(0.0,)","(3764.352910780053,)",344828639.23200005
75B_6F_deterministic,0,0,344758113.99412477,optimal,1732585,89575,0.00019937045729590528,47.3454270362854,284.0,344826848.57696825,,"(0.0,)","(0.0,)","(2821.0095150106285,)",344828639.23200005
100B_3F_deterministic,0,0,401032424.7909852,optimal,1530110,59720,0.0002060361883488476,787.895341873169,981.86,401115051.98319346,,"(0.0,)","(135004.59000000003,)","(3382.9089301885474,)",423797768.63423985
100B_6F_deterministic,0,0,400995095.5078517,optimal,3060110,119300,0.0002996951924221385,54.35257601737976,442.74,401115271.8101603,,"(0.0,)","(135004.59,)","(4876.080255534187,)",423797768.6342399
50B_3F_robust_gamma_0d25_theta_0d05199999999999999,0.05199999999999999,0.25,98464379.4341995,maxTimeLimit,390571,30471,0.08606404654652436,3600.178920984268,3677.69,106938622.36899908,,"(302271.69999999995,)","(0.0,)","(4338.954939224698,)",232153802.49600017
50B_3F_robust_gamma_0d5_theta_0d05199999999999999,0.05199999999999999,0.5,71332495.5252721,maxTimeLimit,390571,30471,0.19402561590143344,3600.0756850242615,3662.26,85172826.90334927,,"(302271.69999999995,)","(0.0,)","(5623.719680795178,)",232153802.49600008
50B_3F_robust_gamma_0d75_theta_0d05199999999999999,0.05199999999999999,0.75,58918652.41425381,maxTimeLimit,390571,30471,0.14890442942200283,3637.84362077713,3620.61,67691900.73431158,,"(302271.6999999998,)","(0.0,)","(1728.9451173394473,)",232153802.49599996
50B_6F_robust_gamma_0d25_theta_0d05199999999999999,0.05199999999999999,0.25,105773721.4227943,maxTimeLimit,780571,60351,0.011013432446599985,3600.256092071533,3705.49,106938653.15830973,,"(302271.69999999984,)","(0.0,)","(4634.092740330705,)",232153802.496
50B_6F_robust_gamma_0d5_theta_0d05199999999999999,0.05199999999999999,0.5,80167774.0051885,maxTimeLimit,780571,60351,0.06242658340320975,3600.1465480327606,3735.71,85172374.23537306,,"(302271.69999999984,)","(0.0,)","(3963.3377402685924,)",232153802.4959998
50B_6F_robust_gamma_0d75_theta_0d05199999999999999,0.05199999999999999,0.75,60483018.80420781,maxTimeLimit,780571,60351,0.11919811945627369,3600.085512161255,3719.38,67692480.90470782,,"(302271.7,)","(0.0,)","(1516.3025734504367,)",232153802.4960001
