instance_name,theta,gamma,objective_value,termination_condition,number_of_variables,number_of_constraints,mip_gap,solver_time_s,total_wall_time_s,best_bound,node_count,milling_loss_t,standover_t,total_distance_km,atr_revenue
50B_3F_robust_gamma_0d05_theta_0d052,0.05199999999999999,0.05,127832942.54500532,maxTimeLimit,390571,30471,0.014175530280776744,3600.157469034195,3614.84,129645042.29293284,,"(302271.8703961676,)","(0.17039616895453946,)","(4144.413277173137,)",232153749.59412426
50B_3F_robust_gamma_0d1_theta_0d052,0.05199999999999999,0.1,119590484.89779386,maxTimeLimit,390571,30471,0.027188218631376514,3600.076597929001,3613.5,122841937.14742741,,"(302271.6999999999,)","(0.0,)","(5202.409206971939,)",232153802.49600017
50B_3F_robust_gamma_0d15_theta_0d052,0.05199999999999999,0.15,113397868.54707366,maxTimeLimit,390571,30471,0.040718736266026186,3600.055629968643,3613.52,118015286.44957146,,"(302271.69999999984,)","(0.0,)","(5168.417331573873,)",232153802.49599996
50B_3F_robust_gamma_0d2_theta_0d052,0.05199999999999999,0.2,105610105.68057588,maxTimeLimit,390571,30471,0.052935187418659914,3600.0594980716705,3613.48,111200596.41808164,,"(302271.6999999998,)","(0.0,)","(5575.049965806805,)",232153802.49600002
50B_3F_robust_gamma_0d25_theta_0d052,0.05199999999999999,0.25,98498541.02544609,maxTimeLimit,390571,30471,0.08568663312310962,3600.051999092102,3613.49,106938549.37345505,,"(302271.69999999984,)","(0.0,)","(6186.385330967514,)",232153802.49600002
50B_3F_robust_gamma_0d3_theta_0d052,0.05199999999999999,0.3,91596585.79326835,maxTimeLimit,390571,30471,0.10541327578213058,3600.109831094742,3613.54,101252081.95219573,,"(302271.6999999999,)","(0.0,)","(5461.5296427073445,)",232153802.49599987
50B_3F_robust_gamma_0d35_theta_0d052,0.05199999999999999,0.35,87198563.68769199,maxTimeLimit,390571,30471,0.11529143475776704,3600.081736087799,3613.5,97251811.20406252,,"(302271.69999999995,)","(0.0,)","(3895.486757141434,)",232153802.49600005
50B_3F_robust_gamma_1d0_theta_0d052,0.05199999999999999,1.0,55985797.671484426,optimal,390571,30471,0.0006130201233059949,48.28515982627869,61.73,56020118.09207638,,"(302271.6999999999,)","(0.0,)","(1562.9035406241585,)",232153802.4960001
50B_6F_robust_gamma_0d05_theta_0d052,0.05199999999999999,0.05,129534975.47149734,optimal,780571,60351,0.0008691898939763234,3144.0286860466003,3171.99,129647565.96309364,,"(302271.7000000006,)","(0.0,)","(4573.004696250053,)",232153802.496
50B_6F_robust_gamma_0d1_theta_0d052,0.05199999999999999,0.1,122385739.04719794,optimal,780571,60351,0.0037262575513154475,1033.1041629314423,1060.41,122841779.83149588,,"(302271.69999999984,)","(0.0,)","(5071.544182855429,)",232153802.49600014
