variable_name,i,j,l,s,t,value
x,no_index,4,1,23,no_index,7416.821838537522
x,no_index,6,1,1,no_index,8270.0
x,no_index,7,1,47,no_index,8527.141980161541
x,no_index,8,1,41,no_index,5473.569683835015
x,no_index,10,1,19,no_index,5391.11629944154
x,no_index,10,1,36,no_index,1864.1970546471712
x,no_index,11,1,12,no_index,5363.0
x,no_index,14,1,5,no_index,10255.149560581507
x,no_index,19,1,6,no_index,4321.5291483558085
x,no_index,21,1,17,no_index,5391.11629944154
x,no_index,22,1,33,no_index,5147.889825459033
x,no_index,26,1,14,no_index,5868.85250332167
x,no_index,26,1,16,no_index,5391.11629944154
x,no_index,28,1,37,no_index,5282.288336003445
x,no_index,30,1,10,no_index,2389.463944963152
x,no_index,31,1,24,no_index,3657.993875099429
x,no_index,31,1,30,no_index,4331.889825459033
x,no_index,32,1,20,no_index,5391.11629944154
x,no_index,33,1,42,no_index,5473.569683835015
x,no_index,37,1,8,no_index,1389.0944364529532
x,no_index,37,1,9,no_index,4886.691454609629
x,no_index,39,1,27,no_index,4313.652737524708
x,no_index,39,1,29,no_index,2518.6518499109607
x,no_index,45,1,13,no_index,5868.85250332167
x,no_index,46,1,38,no_index,5282.288336003445
x,no_index,50,1,40,no_index,5282.288336003445
x,no_index,51,1,11,no_index,5868.85250332167
x,no_index,51,1,18,no_index,5391.11629944154
x,no_index,54,1,25,no_index,5445.03119723679
x,no_index,55,1,32,no_index,5147.889825459033
x,no_index,55,1,44,no_index,5473.569683835015
x,no_index,58,1,22,no_index,4624.711663996555
x,no_index,61,1,49,no_index,8527.141980161541
x,no_index,62,1,43,no_index,5473.569683835015
x,no_index,63,1,26,no_index,4331.889825459033
x,no_index,63,1,31,no_index,5147.889825459033
x,no_index,64,1,39,no_index,5282.288336003445
x,no_index,66,1,28,no_index,6293.883700558462
x,no_index,67,1,7,no_index,6275.785891062582
x,no_index,68,1,34,no_index,5147.889825459033
x,no_index,77,1,50,no_index,3529.430316164985
x,no_index,84,1,35,no_index,5147.889825459033
x,no_index,90,1,45,no_index,5473.569683835015
x,no_index,90,1,46,no_index,8527.141980161541
x,no_index,92,1,48,no_index,8527.141980161541
x,no_index,93,1,21,no_index,9906.110174540969
x,no_index,99,1,2,no_index,10255.149560581507
x,no_index,4,2,32,no_index,5147.889825459033
x,no_index,7,2,35,no_index,5147.889825459033
x,no_index,7,2,37,no_index,5282.288336003445
x,no_index,8,2,50,no_index,5722.430316164985
x,no_index,12,2,12,no_index,5868.85250332167
x,no_index,16,2,48,no_index,6669.711663996555
x,no_index,17,2,1,no_index,7575.214108937418
x,no_index,17,2,6,no_index,6275.785891062582
x,no_index,18,2,13,no_index,5868.85250332167
x,no_index,20,2,28,no_index,4331.889825459034
x,no_index,24,2,36,no_index,5282.288336003445
x,no_index,31,2,16,no_index,5391.11629944154
x,no_index,32,2,10,no_index,4538.03119723679
x,no_index,32,2,11,no_index,5868.85250332167
x,no_index,34,2,29,no_index,4331.889825459033
x,no_index,35,2,15,no_index,5868.85250332167
x,no_index,38,2,23,no_index,3657.993875099429
x,no_index,38,2,44,no_index,3107.116299441539
x,no_index,42,2,45,no_index,5473.569683835015
x,no_index,42,2,46,no_index,7289.430316164985
x,no_index,44,2,5,no_index,9033.361605615748
x,no_index,44,2,8,no_index,1573.790164660979
x,no_index,44,2,9,no_index,4701.995726401603
x,no_index,47,2,41,no_index,5473.569683835015
x,no_index,50,2,47,no_index,7970.711663996555
x,no_index,52,2,31,no_index,5147.889825459033
x,no_index,53,2,24,no_index,2018.1975881151484
x,no_index,53,2,25,no_index,1639.79628698428
x,no_index,53,2,26,no_index,6466.0
x,no_index,54,2,19,no_index,5391.11629944154
x,no_index,56,2,33,no_index,5147.889825459033
x,no_index,65,2,7,no_index,6275.785891062582
x,no_index,67,2,14,no_index,5868.85250332167
x,no_index,68,2,38,no_index,5282.288336003445
x,no_index,76,2,20,no_index,5391.11629944154
x,no_index,76,2,21,no_index,7174.595364555016
x,no_index,78,2,42,no_index,5473.569683835015
x,no_index,79,2,34,no_index,5147.889825459033
x,no_index,79,2,40,no_index,5282.288336003445
x,no_index,81,2,2,no_index,5098.214108937418
x,no_index,82,2,22,no_index,3897.110174540967
x,no_index,85,2,27,no_index,4331.889825459033
x,no_index,88,2,18,no_index,5391.11629944154
x,no_index,94,2,17,no_index,5391.11629944154
x,no_index,95,2,39,no_index,5282.288336003445
x,no_index,95,2,43,no_index,5473.569683835015
x,no_index,12,3,28,no_index,5822.14749667833
x,no_index,16,3,38,no_index,5282.288336003445
x,no_index,20,3,24,no_index,3657.993875099429
x,no_index,23,3,44,no_index,5473.569683835015
x,no_index,25,3,8,no_index,6275.785891062582
x,no_index,27,3,43,no_index,5473.569683835015
