variable_name,i,j,l,s,t,value
x,no_index,27,1,4,no_index,14221.0
x,no_index,29,1,8,no_index,2518.651849910968
x,no_index,44,1,13,no_index,2559.2835221234677
x,no_index,44,1,33,no_index,3111.231073021334
x,no_index,44,1,41,no_index,5890.123377727976
x,no_index,50,1,12,no_index,11685.0
x,no_index,54,1,46,no_index,2056.9943707160646
x,no_index,57,1,5,no_index,1634.542431051672
x,no_index,57,1,7,no_index,2369.2594005088013
x,no_index,2,2,21,no_index,2043.4434054589476
x,no_index,14,2,45,no_index,11952.0
x,no_index,18,2,22,no_index,13824.0
x,no_index,28,2,44,no_index,11913.0
x,no_index,45,2,46,no_index,1573.5675753135547
x,no_index,45,2,49,no_index,17759.432424686456
x,no_index,47,2,28,no_index,2078.8758857922912
x,no_index,47,2,41,no_index,10379.124114207709
x,no_index,61,2,23,no_index,2182.0034231514983
x,no_index,61,2,26,no_index,7400.086482419709
x,no_index,61,2,43,no_index,2182.0034231515183
x,no_index,4,3,22,no_index,12565.0
x,no_index,7,3,46,no_index,11196.0
x,no_index,12,3,2,no_index,11452.0
x,no_index,15,3,9,no_index,12517.153601968535
x,no_index,15,3,11,no_index,1333.8463980314627
x,no_index,17,3,10,no_index,12171.0
x,no_index,20,3,3,no_index,18334.0
x,no_index,21,3,8,no_index,18463.0
x,no_index,24,3,20,no_index,16948.0
x,no_index,29,3,6,no_index,15490.34815008905
x,no_index,30,3,33,no_index,17607.0
x,no_index,31,3,19,no_index,22989.0
x,no_index,33,3,4,no_index,21178.0
x,no_index,34,3,35,no_index,13859.0
x,no_index,37,3,41,no_index,13253.0
x,no_index,44,3,42,no_index,1806.362027127223
x,no_index,46,3,49,no_index,1504.7842284843955
x,no_index,46,3,50,no_index,15970.215771515612
x,no_index,48,3,30,no_index,2085.861900001255
x,no_index,48,3,32,no_index,13857.138099998756
x,no_index,53,3,14,no_index,20665.0
x,no_index,54,3,47,no_index,6973.005629283944
x,no_index,57,3,12,no_index,2546.341043508135
x,no_index,57,3,17,no_index,2546.3410435081223
x,no_index,58,3,29,no_index,5055.452076471232
