variable_name,i,j,l,s,t,value
x,no_index,1,1,21,no_index,19006.0
x,no_index,2,1,27,no_index,12565.0
x,no_index,3,1,10,no_index,8270.0
x,no_index,4,1,43,no_index,19500.0
x,no_index,5,1,49,no_index,11196.0
x,no_index,9,1,2,no_index,13441.0
x,no_index,11,1,50,no_index,11952.0
x,no_index,12,1,13,no_index,13851.0
x,no_index,13,1,37,no_index,12663.0
x,no_index,14,1,16,no_index,18463.0
x,no_index,15,1,30,no_index,9074.0
x,no_index,16,1,28,no_index,16948.0
x,no_index,20,1,25,no_index,11913.0
x,no_index,22,1,29,no_index,17607.0
x,no_index,23,1,9,no_index,21178.0
x,no_index,24,1,45,no_index,13859.0
x,no_index,25,1,17,no_index,1936.6058875639096
x,no_index,25,1,18,no_index,13570.39411243609
x,no_index,26,1,33,no_index,14197.0
x,no_index,27,1,11,no_index,20663.0
x,no_index,28,1,23,no_index,16705.0
x,no_index,31,1,38,no_index,1604.1644789543934
x,no_index,31,1,39,no_index,14338.835521045608
x,no_index,32,1,26,no_index,11685.0
x,no_index,34,1,31,no_index,16102.0
x,no_index,37,1,7,no_index,8744.0
x,no_index,38,1,42,no_index,8743.0
x,no_index,39,1,40,no_index,13130.0
x,no_index,40,1,6,no_index,16446.0
x,no_index,42,1,22,no_index,16842.0
x,no_index,43,1,12,no_index,1502.4337412654777
x,no_index,43,1,32,no_index,16960.56625873452
x,no_index,44,1,44,no_index,19283.0
x,no_index,45,1,8,no_index,14327.0
x,no_index,46,1,46,no_index,2443.102386980119
x,no_index,46,1,47,no_index,8544.89761301988
x,no_index,47,1,24,no_index,14238.0
x,no_index,48,1,36,no_index,12630.0
x,no_index,49,1,41,no_index,22143.0
x,no_index,7,2,11,no_index,20446.0
x,no_index,8,2,14,no_index,1621.0309926223474
x,no_index,8,2,16,no_index,17122.96900737765
x,no_index,10,2,1,no_index,9909.0
x,no_index,18,2,29,no_index,2464.516673810702
x,no_index,18,2,35,no_index,14832.483326189298
x,no_index,19,2,2,no_index,1786.5442355483085
x,no_index,19,2,10,no_index,12434.455764451704
x,no_index,21,2,20,no_index,3893.430000000008
x,no_index,21,2,24,no_index,14115.569999999992
x,no_index,29,2,26,no_index,2446.6296201168243
x,no_index,29,2,36,no_index,2446.6296201168207
x,no_index,29,2,41,no_index,8473.740759766355
x,no_index,36,2,46,no_index,2345.80738568123
x,no_index,36,2,49,no_index,6684.19261431877
x,no_index,6,3,8,no_index,1437.2783139830626
x,no_index,6,3,15,no_index,12599.721686016936
x,no_index,17,3,20,no_index,14876.0
x,no_index,30,3,45,no_index,1504.7842284843955
x,no_index,30,3,48,no_index,15970.215771515605
x,no_index,33,3,6,no_index,2314.2803443461626
x,no_index,33,3,7,no_index,14876.719655653837
x,no_index,35,3,27,no_index,20665.0
x,no_index,41,3,21,no_index,12184.0
x,no_index,50,3,26,no_index,1857.6573745681808
x,no_index,50,3,28,no_index,1857.6573745681808
x,no_index,50,3,43,no_index,8332.685250863637
y,no_index,1,1,21,no_index,1.0
y,no_index,2,1,27,no_index,1.0
y,no_index,3,1,10,no_index,1.0
y,no_index,4,1,43,no_index,1.0
y,no_index,5,1,49,no_index,1.0
y,no_index,9,1,1,no_index,1.0
y,no_index,9,1,2,no_index,1.0
y,no_index,9,1,3,no_index,1.0
y,no_index,9,1,4,no_index,1.0
y,no_index,9,1,5,no_index,1.0
y,no_index,11,1,50,no_index,1.0
y,no_index,12,1,13,no_index,1.0
y,no_index,12,1,14,no_index,1.0
y,no_index,12,1,15,no_index,1.0
y,no_index,13,1,37,no_index,1.0
y,no_index,14,1,16,no_index,1.0
y,no_index,15,1,30,no_index,1.0
y,no_index,16,1,28,no_index,1.0
y,no_index,20,1,25,no_index,1.0
y,no_index,22,1,29,no_index,1.0
y,no_index,23,1,9,no_index,1.0
y,no_index,24,1,45,no_index,1.0
y,no_index,25,1,17,no_index,1.0
y,no_index,25,1,18,no_index,1.0
y,no_index,25,1,19,no_index,1.0
y,no_index,25,1,20,no_index,1.0
y,no_index,26,1,33,no_index,1.0
y,no_index,26,1,34,no_index,1.0
y,no_index,26,1,35,no_index,1.0
y,no_index,27,1,11,no_index,1.0
y,no_index,28,1,23,no_index,1.0
y,no_index,31,1,38,no_index,1.0
y,no_index,31,1,39,no_index,1.0
y,no_index,32,1,26,no_index,1.0
y,no_index,34,1,31,no_index,1.0
y,no_index,37,1,7,no_index,1.0
y,no_index,38,1,42,no_index,1.0
y,no_index,39,1,40,no_index,1.0
y,no_index,40,1,6,no_index,1.0
y,no_index,42,1,22,no_index,1.0
y,no_index,43,1,12,no_index,1.0
y,no_index,43,1,32,no_index,1.0
y,no_index,44,1,44,no_index,1.0
y,no_index,45,1,8,no_index,1.0
y,no_index,46,1,46,no_index,1.0
y,no_index,46,1,47,no_index,1.0
y,no_index,46,1,48,no_index,1.0
y,no_index,47,1,24,no_index,1.0
y,no_index,48,1,36,no_index,1.0
y,no_index,49,1,41,no_index,1.0
y,no_index,7,2,11,no_index,1.0
y,no_index,7,2,12,no_index,1.0
y,no_index,7,2,13,no_index,1.0
y,no_index,8,2,14,no_index,1.0
y,no_index,8,2,15,no_index,1.0
y,no_index,8,2,16,no_index,1.0
y,no_index,8,2,17,no_index,1.0
y,no_index,8,2,18,no_index,1.0
y,no_index,8,2,19,no_index,1.0
y,no_index,10,2,1,no_index,1.0
y,no_index,18,2,29,no_index,1.0
y,no_index,18,2,30,no_index,1.0
y,no_index,18,2,31,no_index,1.0
y,no_index,18,2,32,no_index,1.0
y,no_index,18,2,33,no_index,1.0
y,no_index,18,2,34,no_index,1.0
y,no_index,18,2,35,no_index,1.0
y,no_index,19,2,2,no_index,1.0
y,no_index,19,2,3,no_index,1.0
y,no_index,19,2,4,no_index,1.0
y,no_index,19,2,5,no_index,1.0
y,no_index,19,2,6,no_index,1.0
y,no_index,19,2,7,no_index,1.0
y,no_index,19,2,8,no_index,1.0
y,no_index,19,2,9,no_index,1.0
y,no_index,19,2,10,no_index,1.0
y,no_index,21,2,20,no_index,1.0
y,no_index,21,2,21,no_index,1.0
y,no_index,21,2,22,no_index,1.0
