variable_name,i,j,l,s,t,value
x,no_index,1,1,21,no_index,4289.798163782286
x,no_index,2,1,17,no_index,2356.019764404249
x,no_index,2,1,23,no_index,3184.756602326099
x,no_index,4,1,32,no_index,2860.0
x,no_index,6,1,18,no_index,5241.201836217719
x,no_index,7,1,12,no_index,4506.0
x,no_index,8,1,11,no_index,4506.0
x,no_index,17,1,10,no_index,2611.223633269652
x,no_index,17,1,27,no_index,4164.223633269652
x,no_index,20,1,14,no_index,4506.0
x,no_index,20,1,31,no_index,2736.0049746663544
x,no_index,20,1,39,no_index,2335.497512666824
x,no_index,20,1,41,no_index,2335.497512666824
x,no_index,21,1,19,no_index,4208.900883549743
x,no_index,21,1,30,no_index,4164.223633269652
x,no_index,21,1,40,no_index,2518.651849910957
x,no_index,23,1,6,no_index,2611.223633269652
x,no_index,24,1,34,no_index,2860.0
x,no_index,24,1,36,no_index,4266.099449237567
x,no_index,27,1,15,no_index,4506.0
x,no_index,27,1,16,no_index,4842.978202948067
x,no_index,30,1,44,no_index,2485.481299081426
x,no_index,30,1,48,no_index,9010.22363326965
x,no_index,32,1,29,no_index,4164.223633269652
x,no_index,35,1,28,no_index,6085.223633269655
x,no_index,38,1,35,no_index,2860.0
x,no_index,40,1,13,no_index,4506.0
x,no_index,40,1,24,no_index,2355.323391482385
x,no_index,40,1,33,no_index,2860.0
x,no_index,45,1,20,no_index,5531.201836217726
x,no_index,46,1,42,no_index,2443.102386980119
x,no_index,47,1,25,no_index,4289.798163782286
x,no_index,47,1,26,no_index,4164.223633269652
x,no_index,48,1,37,no_index,7829.6739797502
x,no_index,1,2,40,no_index,3262.875815967914
x,no_index,6,2,23,no_index,4289.798163782286
x,no_index,8,2,19,no_index,5783.978202948063
x,no_index,8,2,28,no_index,4164.223633269652
x,no_index,9,2,15,no_index,5045.074633210743
x,no_index,9,2,16,no_index,5783.978202948063
x,no_index,12,2,33,no_index,2860.0
x,no_index,16,2,14,no_index,4506.0
x,no_index,16,2,27,no_index,2539.9055258267
x,no_index,19,2,6,no_index,2611.223633269652
x,no_index,21,2,10,no_index,2611.223633269652
x,no_index,21,2,11,no_index,4506.0
x,no_index,22,2,38,no_index,3293.6739797501987
x,no_index,22,2,49,no_index,1555.755239796676
x,no_index,22,2,50,no_index,7454.468393472977
x,no_index,24,2,22,no_index,4289.798163782285
x,no_index,26,2,34,no_index,2860.0
x,no_index,27,2,21,no_index,4289.798163782286
x,no_index,29,2,25,no_index,4289.798163782286
x,no_index,29,2,26,no_index,4164.223633269652
x,no_index,31,2,29,no_index,4164.223633269652
x,no_index,32,2,12,no_index,4506.0
x,no_index,33,2,7,no_index,2611.223633269652
x,no_index,33,2,13,no_index,4506.0
x,no_index,33,2,18,no_index,5783.978202948065
x,no_index,33,2,24,no_index,4289.798163782287
x,no_index,34,2,31,no_index,4108.102386980148
x,no_index,34,2,39,no_index,7829.6739797502
x,no_index,35,2,17,no_index,5783.978202948063
x,no_index,36,2,43,no_index,2345.8073856812334
