objective_value,termination_condition,number_of_variables,number_of_constraints,mip_gap,runtime,best_bound,node_count,gamma,uncertainty,instance,category
9950833.470294923,optimal,570559,89068,7.005181500277009e-05,6.8103039264678955,9950136.396349538,,0.5,0.1,instance_Factivel21_B30_F3_T9_30_3_9_202507081614.pkl,robust
9960993.878860008,optimal,570559,89068,8.019371691403563e-05,9.322728872299194,9960195.069736704,,0.5,0.2,instance_Factivel21_B30_F3_T9_30_3_9_202507081614.pkl,robust
9971359.178924447,optimal,570559,89068,9.452046773847635e-05,6.474675893783569,9970416.681390867,,0.5,0.3,instance_Factivel21_B30_F3_T9_30_3_9_202507081614.pkl,robust
9960842.13285564,optimal,570559,89068,5.297391991961789e-05,8.834017038345337,9960314.468002163,,1.0,0.1,instance_Factivel21_B30_F3_T9_30_3_9_202507081614.pkl,robust
9981433.357943885,optimal,570559,89068,9.952379586564193e-05,6.158030986785889,9980439.967807923,,1.0,0.2,instance_Factivel21_B30_F3_T9_30_3_9_202507081614.pkl,robust
10001787.119383454,optimal,570559,89068,9.712773259516214e-05,7.729514837265015,10000815.66847865,,1.0,0.3,instance_Factivel21_B30_F3_T9_30_3_9_202507081614.pkl,robust
10029946.617298469,optimal,570559,89068,9.929102345899349e-05,7.111804962158203,10028950.733633598,,5.0,0.1,instance_Factivel21_B30_F3_T9_30_3_9_202507081614.pkl,robust
10118739.543059807,optimal,570559,89068,9.809903466764667e-05,8.484258890151978,10117746.90447858,,5.0,0.2,instance_Factivel21_B30_F3_T9_30_3_9_202507081614.pkl,robust
10207633.305582043,optimal,570559,89068,9.273500676830324e-05,19.45502996444702,10206686.700638361,,5.0,0.3,instance_Factivel21_B30_F3_T9_30_3_9_202507081614.pkl,robust
10096151.022171725,optimal,570559,89068,6.603490980460166e-05,8.386291027069092,10095484.323749602,,10.0,0.1,instance_Factivel21_B30_F3_T9_30_3_9_202507081614.pkl,robust
